,word,sentiment,n,
684,peaceful,positive,1,
685,pinch,negative,1,
686,pity,negative,1,
687,plague,negative,1,
688,plotters,negative,1,
689,plunder,negative,1,
690,polished,positive,1,
691,polite,positive,1,
692,popular,positive,1,
693,praising,positive,1,
694,precious,positive,1,
695,pride,positive,1,
696,privileged,positive,1,
697,progress,positive,1,
698,protect,positive,1,
699,protection,positive,1,
700,pry,negative,1,
701,pure,positive,1,
702,quarrel,negative,1,
703,quarrelsome,negative,1,
704,quieter,positive,1,
705,rampant,negative,1,
706,rattles,negative,1,
707,recommend,positive,1,
708,regard,positive,1,
709,reliable,positive,1,
710,resigned,negative,1,
711,respect,positive,1,
712,restless,negative,1,
713,rightness,positive,1,
714,rubbish,negative,1,
715,rust,negative,1,
716,saint,positive,1,
717,satisfying,positive,1,
718,scar,negative,1,
719,scarcity,negative,1,
720,scold,negative,1,
721,scolded,negative,1,
722,scramble,negative,1,
723,scratches,negative,1,
724,screwed,negative,1,
725,seedy,negative,1,
726,shabby,negative,1,
727,shady,negative,1,
728,shaky,negative,1,
729,shallow,negative,1,
730,shine,positive,1,
731,shirk,negative,1,
732,shocked,negative,1,
733,shrivel,negative,1,
734,shroud,negative,1,
735,sicken,negative,1,
736,sickening,negative,1,
737,sickness,negative,1,
738,sink,negative,1,
739,skilled,positive,1,
740,sloppy,negative,1,
741,smack,negative,1,
742,smarter,positive,1,
743,smells,negative,1,
744,sneaky,negative,1,
745,sparkling,positive,1,
746,spirited,positive,1,
747,spiritual,positive,1,
748,splitting,negative,1,
749,squealing,negative,1,
750,squirm,negative,1,
751,standstill,negative,1,
752,stormy,negative,1,
753,stronger,positive,1,
754,struggled,negative,1,
755,stunned,positive,1,
756,stupid,negative,1,
757,stupidest,negative,1,
758,succeeded,positive,1,
759,succeeding,positive,1,
760,suck,negative,1,
761,sued,negative,1,
762,suitable,positive,1,
763,superstition,negative,1,
764,support,positive,1,
765,symptoms,negative,1,
766,talent,positive,1,
767,tangle,negative,1,
768,thrash,negative,1,
769,threatening,negative,1,
770,treasure,positive,1,
771,triumphant,positive,1,
772,troubled,negative,1,
773,troubling,negative,1,
774,trustworthy,positive,1,
775,trusty,positive,1,
776,tumbles,negative,1,
777,uncertain,negative,1,
778,unexpected,negative,1,
779,unfavorable,negative,1,
780,unnatural,negative,1,
781,unpleasant,negative,1,
782,unselfish,positive,1,
783,vigilance,positive,1,
784,wail,negative,1,
785,warning,negative,1,
786,wasted,negative,1,
787,weaken,negative,1,
788,weary,negative,1,
789,whips,negative,1,
790,wilt,negative,1,
791,wince,negative,1,
792,winner,positive,1,
793,woe,negative,1,
794,yawn,negative,1,
